site,alpha,head_size,num_heads,ff_dim,dropout,dense_unit,learning_rate,val_auc,accuracy,precision,recall,npv,specificity,f1
21,0.25,32,2,128,0.2,64,0.001,0.9386103781882146,0.9695431472081218,0.8,0.26666666666666666,0.9717223650385605,0.9973614775725593,0.4
21,0.25,32,2,128,0.2,64,0.0003,0.9190853122251539,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,4,64,0.1,32,0.001,0.9201407211961301,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,4,64,0.1,32,0.0003,0.9345646437994722,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,4,64,0.1,64,0.001,0.9484608619173263,0.9644670050761421,0.6666666666666666,0.13333333333333333,0.9667519181585678,0.9973614775725593,0.2222222222222222
21,0.25,32,4,64,0.1,64,0.0003,0.9456464379947229,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,4,64,0.2,32,0.001,0.949868073878628,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,4,64,0.2,32,0.0003,0.9291116974494283,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,4,64,0.2,64,0.001,0.9386103781882146,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,32,4,64,0.2,64,0.0003,0.8981530343007915,0.9644670050761421,0.6666666666666666,0.13333333333333333,0.9667519181585678,0.9973614775725593,0.2222222222222222
21,0.25,32,4,128,0.1,32,0.001,0.9352682497801232,0.9644670050761421,0.6666666666666666,0.13333333333333333,0.9667519181585678,0.9973614775725593,0.2222222222222222
21,0.25,32,4,128,0.1,32,0.0003,0.9150395778364115,0.9670050761421319,1.0,0.13333333333333333,0.9668367346938775,1.0,0.23529411764705882
21,0.25,32,4,128,0.1,64,0.001,0.945646437994723,0.9695431472081218,1.0,0.2,0.969309462915601,1.0,0.3333333333333333
21,0.25,32,4,128,0.1,64,0.0003,0.9287598944591029,0.9619289340101523,0.0,0.0,0.9619289340101523,1.0,0.0
21,0.25,32,4,128,0.2,32,0.001,0.9270008795074759,0.9695431472081218,1.0,0.2,0.969309462915601,1.0,0.3333333333333333
21,0.25,32,4,128,0.2,32,0.0003,0.9206684256816182,0.9670050761421319,1.0,0.13333333333333333,0.9668367346938775,1.0,0.23529411764705882
21,0.25,32,4,128,0.2,64,0.001,0.9356200527704486,0.9619289340101523,0.0,0.0,0.9619289340101523,1.0,0.0
21,0.25,32,4,128,0.2,64,0.0003,0.9363236587510995,0.9619289340101523,0.0,0.0,0.9619289340101523,1.0,0.0
21,0.25,64,2,64,0.1,32,0.001,0.91363236587511,0.9670050761421319,1.0,0.13333333333333333,0.9668367346938775,1.0,0.23529411764705882
21,0.25,64,2,64,0.1,32,0.0003,0.9384344766930519,0.9619289340101523,0.0,0.0,0.9619289340101523,1.0,0.0
21,0.25,64,2,64,0.1,64,0.001,0.9331574318381706,0.9695431472081218,1.0,0.2,0.969309462915601,1.0,0.3333333333333333
21,0.25,64,2,64,0.1,64,0.0003,0.8949868073878628,0.9619289340101523,0.0,0.0,0.9619289340101523,1.0,0.0
21,0.25,64,2,64,0.2,32,0.001,0.9241864555848724,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,64,2,64,0.2,32,0.0003,0.9078276165347405,0.9619289340101523,0.5,0.06666666666666667,0.9642857142857143,0.9973614775725593,0.11764705882352941
21,0.25,64,2,64,0.2,64,0.001,0.9477572559366755,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,64,2,64,0.2,64,0.0003,0.9201407211961301,0.9670050761421319,1.0,0.13333333333333333,0.9668367346938775,1.0,0.23529411764705882
21,0.25,64,2,128,0.1,32,0.001,0.9477572559366754,0.9670050761421319,1.0,0.13333333333333333,0.9668367346938775,1.0,0.23529411764705882
21,0.25,64,2,128,0.1,32,0.0003,0.9463500439753738,0.9644670050761421,1.0,0.06666666666666667,0.9643765903307888,1.0,0.125
21,0.25,64,2,128,0.1,64,0.001,0.937203166226913,0.9670050761421319,1.0,0.13333333333333333,0.9668367346938775,1.0,0.23529411764705882
