site,alpha,gamma,lstm_units,dropout_rate,dense_units,batch_size,val_auc,acc,precision,recall,npv,specificity,f1
15,0.9,2.0,32,0.3,16,32,0.8706687176165804,0.8992537313432836,0.2247191011235955,0.625,0.9832167832167832,0.9106217616580311,0.3305785123966942
15,0.75,2.0,64,0.3,16,16,0.8706687176165803,0.9527363184079602,0.39285714285714285,0.34375,0.9729381443298969,0.977979274611399,0.36666666666666664
13,0.75,2.0,32,0.2,32,32,0.8704145033619882,0.9645120405576679,0.5555555555555556,0.4838709677419355,0.979002624671916,0.9841688654353562,0.5172413793103449
13,0.75,2.0,64,0.2,32,32,0.8704145033619882,0.9657794676806084,0.5833333333333334,0.45161290322580644,0.9777777777777777,0.9868073878627969,0.509090909090909
3,0.95,2.0,32,0.2,32,16,0.8701265929259369,0.7869674185463659,0.12021857923497267,0.7096774193548387,0.9853658536585366,0.7900912646675359,0.205607476635514
3,0.95,2.0,64,0.2,32,32,0.870042478024982,0.8596491228070176,0.18110236220472442,0.7419354838709677,0.9880774962742176,0.864406779661017,0.2911392405063291
16,0.9,2.0,32,0.2,16,32,0.8698457223001402,0.9030955585464334,0.23076923076923078,0.6,0.9819548872180451,0.9158485273492286,0.3333333333333333
15,0.95,2.0,64,0.3,16,32,0.869616256476684,0.8121890547263682,0.1393939393939394,0.71875,0.9859154929577465,0.8160621761658031,0.233502538071066
3,0.9,2.0,32,0.2,16,32,0.8691592715649576,0.9122807017543859,0.24675324675324675,0.6129032258064516,0.9833564493758669,0.924380704041721,0.35185185185185186
3,0.75,2.0,32,0.3,16,32,0.8690330992135257,0.9611528822055138,0.5,0.3870967741935484,0.975452196382429,0.984354628422425,0.43636363636363634
13,0.95,2.0,32,0.3,16,16,0.868839901268193,0.7300380228136882,0.09734513274336283,0.7096774193548387,0.9840142095914742,0.7308707124010554,0.17120622568093385
13,0.95,2.0,64,0.2,32,32,0.8682441058813516,0.7997465145754119,0.1329479768786127,0.7419354838709677,0.987012987012987,0.8021108179419525,0.22549019607843138
13,0.75,2.0,64,0.2,16,32,0.86815899225466,0.9556400506970849,0.4444444444444444,0.5161290322580645,0.9800796812749004,0.9736147757255936,0.47761194029850745
