site,alpha,gamma,lstm_units,dropout_rate,dense_units,batch_size,val_auc,acc,precision,recall,npv,specificity,f1
21,0.25,2.0,32,0.3,16,32,0.9079701574015103,0.96569250317662,0.75,0.10344827586206896,0.966794380587484,0.9986807387862797,0.18181818181818182
21,0.5,2.0,64,0.2,32,32,0.9075607315075971,0.9669631512071156,0.6,0.3103448275862069,0.9740932642487047,0.9920844327176781,0.4090909090909091
21,0.5,2.0,32,0.2,32,32,0.9071058138476935,0.9682337992376112,0.7,0.2413793103448276,0.9716859716859717,0.996042216358839,0.358974358974359
21,0.75,2.0,64,0.3,32,16,0.9043763078882722,0.9542566709021602,0.4,0.4827586206896552,0.9800531914893617,0.9722955145118733,0.4375
21,0.5,2.0,64,0.3,32,32,0.9040578655263396,0.9695044472681067,0.7272727272727273,0.27586206896551724,0.9729381443298969,0.996042216358839,0.4
21,0.75,2.0,64,0.3,32,32,0.9037849149303976,0.9618805590851334,0.48148148148148145,0.4482758620689655,0.9789473684210527,0.9815303430079155,0.4642857142857143
21,0.5,2.0,32,0.3,16,32,0.9029660631425713,0.9707750952986023,0.8,0.27586206896551724,0.972972972972973,0.9973614775725593,0.41025641025641024
21,0.5,2.0,32,0.2,32,16,0.9023746701846966,0.9682337992376112,0.625,0.3448275862068966,0.9753566796368353,0.9920844327176781,0.4444444444444444
21,0.75,2.0,64,0.3,16,16,0.9021472113547448,0.9542566709021602,0.3939393939393939,0.4482758620689655,0.9787798408488063,0.9736147757255936,0.41935483870967744
21,0.75,2.0,32,0.2,16,32,0.9010099172049859,0.9529860228716646,0.38235294117647056,0.4482758620689655,0.9787516600265604,0.9722955145118733,0.4126984126984127
21,0.5,2.0,64,0.3,32,16,0.8995086889273041,0.963151207115629,0.5,0.20689655172413793,0.9703225806451613,0.9920844327176781,0.2926829268292683
21,0.25,2.0,64,0.3,16,32,0.8991902465653716,0.9644218551461246,0.6666666666666666,0.06896551724137931,0.9655612244897959,0.9986807387862797,0.125
21,0.25,2.0,64,0.3,32,16,0.8989627877354198,0.9644218551461246,0.5714285714285714,0.13793103448275862,0.967948717948718,0.996042216358839,0.2222222222222222
